Wavelength,Hypo,Inc
599.383,-59.44822000000000,-213.17682000000000
599.675,-88.11098000000000,-225.605455
599.966,-22.33681500000020,-190.39454500000000
600.258,7.573885000000070,-180.08818000000000
600.55,-90.39556500000000,-237.08091000000000
600.841,-133.06922500000000,-272.11681500000000
601.133,-159.6851100000000,-296.483185
601.425,-208.94836500000000,-333.6850050000000
601.716,-248.61511,-362.73500000000000
602.008,-226.20294000000000,-361.15455
602.299,-220.57136500000000,-356.2690950000000
602.591,-193.43532000000000,-329.8881850000000
602.882,-150.74759000000000,-291.95454500000000
603.173,-169.5543000000000,-284.6259100000000
603.465,-122.92307000000000,-254.43227
603.756,-25.419129999999900,-198.51727500000000
604.047,-22.382450000000100,-178.1981800000000
604.339,-11.10650000000000,-166.29681000000000
604.63,13.31790500000010,-169.36409000000000
604.921,-64.93804500000010,-216.1927300000000
605.212,-123.62636000000000,-246.46227000000000
605.503,-79.75692499999990,-241.67409000000000
605.795,-122.78420000000000,-277.88864000000000
606.086,-196.5395450000000,-319.79727
606.377,-205.92132500000000,-332.43090500000000
606.668,-221.2390200000000,-352.28272500000000
606.959,-231.84147000000000,-373.98272500000000
607.25,-214.69479500000000,-379.664095
607.541,-246.55059000000000,-401.90500000000000
607.832,-256.470495,-403.8072800000000
608.122,-159.07699500000000,-342.03681500000000
608.413,-173.0558350000000,-326.76227000000000
608.704,-214.47549000000000,-333.7177250000000
608.995,-138.00920000000000,-286.7368200000000
609.286,-89.56541500000000,-242.70318000000000
609.576,-78.00902500000020,-233.6140900000000
609.867,-104.75842500000000,-258.934085
610.158,-141.13674500000000,-274.67545
610.448,-108.7234300000000,-247.444545
610.739,-45.59874500000010,-212.54636500000000
611.03,-53.31450999999990,-211.702725
611.32,-79.17559000000010,-229.41954500000000
611.611,-88.07514000000010,-249.5890950000000
611.901,-150.25472000000000,-273.66318500000000
612.192,-157.1275850000000,-271.8313600000000
612.482,-124.99493000000000,-279.81590500000000
612.773,-156.18105000000000,-323.87682000000000
613.063,-186.47087,-344.04363
613.353,-165.34587,-322.491365
613.644,-188.13779500000000,-333.56045000000000
613.934,-235.2473050000000,-366.893635
614.224,-187.6293700000000,-350.1786350000000
614.515,-186.44531500000000,-348.26818000000000
614.805,-159.01039000000000,-336.74773000000000
615.095,-90.80136500000000,-325.43000000000000
615.385,-240.36045000000000,-418.20772
615.675,-334.95941000000000,-474.87228000000000
615.965,-266.6715450000000,-442.2440950000000
616.255,-219.16115000000000,-395.39181500000000
616.546,-236.52539000000000,-389.57363500000000
616.836,-208.68370000000000,-404.80181500000000
617.126,-246.94189000000000,-444.0559100000000
617.415,-353.6218900000000,-483.92773
617.705,-305.78577000000000,-456.59909000000000
617.995,-273.10003500000000,-439.1877250000000
618.285,-263.79545000000000,-434.6968150000000
618.575,-163.842485,-379.55045500000000
618.865,-157.80280000000000,-335.01728000000000
619.155,-178.38591000000000,-314.40182000000000
619.444,-142.2543650000000,-303.4368150000000
619.734,-147.05276500000000,-329.6004550000000
620.024,-194.57734500000000,-362.92318
620.314,-136.17566000000000,-313.40317500000000
620.603,-58.60437000000000,-255.028635
620.893,-157.20934,-302.45591
621.182,-151.19814500000000,-327.2295450000000
621.472,-97.91090499999980,-284.98818000000000
621.761,-89.96066000000010,-234.64136000000000
622.051,-83.49881000000010,-218.1577250000000
622.34,-111.06696000000000,-226.99227500000000
622.63,-90.97349500000000,-224.21909000000000
622.919,-40.63933999999990,-198.88591000000000
623.209,33.969089999999900,-147.285455
623.498,18.65168499999990,-139.13045500000000
623.787,-47.55523999999990,-166.87408500000000
624.077,11.502930000000000,-136.8695500000000
624.366,40.37279499999990,-102.39227500000000
624.655,49.895414999999900,-116.26272500000000
624.944,22.01332000000010,-144.02682000000000
625.234,-43.46573000000000,-152.8681750000000
625.523,-30.196755000000000,-141.24864000000000
625.812,-17.375040000000000,-133.601365
626.101,4.1305900000001000,-125.24864000000000
626.39,17.376680000000000,-120.442725
626.679,19.90989500000000,-123.32136000000000
626.968,17.73161000000000,-118.28727000000000
627.257,14.119960000000000,-108.13727500000000
627.546,16.301825000000000,-106.31727000000000
627.835,2.7833199999999600,-117.17318000000000
628.124,29.75503500000000,-114.87500000000000
628.413,15.200595000000000,-129.56773000000000
628.702,-45.20475000000010,-159.28590500000000
628.991,-35.3699949999999,-166.7736350000000
629.279,-30.264890000000100,-185.45545000000000
629.568,-65.89601500000000,-216.05182000000000
629.857,-47.67489000000000,-230.96772500000000
630.146,-65.47654000000010,-270.268635
630.434,-164.80919500000000,-339.38590500000000
630.723,-223.55311000000000,-391.1654500000000
631.012,-276.20713,-429.84909000000000
631.3,-307.49241000000000,-441.92590500000000
631.589,-256.4502450000000,-412.79272500000000
631.877,-225.82196,-399.50455
632.166,-283.935105,-434.039545
632.455,-290.11109,-440.16500000000000
632.743,-237.67601000000000,-411.2854500000000
633.031,-222.41056500000000,-396.69500000000000
633.32,-183.72972500000000,-367.99455000000000
633.608,-113.1598600000000,-306.37681500000000
633.897,-74.10206500000000,-250.88863500000000
634.185,-40.06367,-210.93726500000000
634.473,-48.1273799999999,-197.79181500000000
634.762,-77.44612000000010,-208.34455000000000
635.05,-69.12020999999990,-204.3445500000000
635.338,10.236254999999900,-165.67500000000000
635.626,24.26719999999990,-160.77818500000000
635.914,-40.31136000000000,-196.00636000000000
636.203,-43.09010500000010,-201.81727000000000
636.491,-13.428184999999900,-185.8977350000000
636.779,-31.358455000000100,-201.24727000000000
637.067,-96.22163999999990,-239.17318500000000
637.355,-101.39346500000000,-242.661365
637.643,-97.67784000000000,-244.99955000000000
637.931,-60.77982500000010,-256.1195500000000
638.219,-116.30604500000000,-454.2995400000000
638.507,-279.7422000000000,-691.68045
638.795,-310.34647000000000,-720.5954550000000
639.083,-273.5375200000000,-694.786365
639.37,-276.0101350000000,-682.5463600000000
639.658,-293.3132500000000,-680.202275
639.946,-249.58440500000000,-656.1127250000000
640.234,-200.89409500000000,-638.13409
640.522,-248.9679050000000,-669.474545
640.809,-303.3878000000000,-702.89364
641.097,-309.4426250000000,-703.64455
641.385,-170.235135,-497.547725
641.672,-42.34353000000000,-264.72409
641.96,-56.8200750000001,-218.13500500000000
642.247,-39.025705000000000,-195.88455
642.535,-48.67206500000010,-206.24773000000000
642.822,-91.95084000000000,-224.60954500000000
