Wavelength,Hypo,Inc
ST02168_1:101,,
307.282,861.0215350000001,936.1295450000002
307.612,888.8218150000001,947.5759049999999
307.941,829.4355199999998,929.4104499999996
308.271,855.0879400000001,937.910455
308.6,859.292385,940.8750050000001
308.93,906.7159750000002,976.068635
309.259,1016.7593350000002,1042.84363
309.589,1017.1159749999999,1053.5495399999998
309.918,904.0470300000002,1002.5450000000001
310.247,900.5195049999999,1001.613175
310.576,1022.375805,1078.68546
310.905,1043.2207700000004,1120.4172749999998
311.234,1087.84895,1138.471815
311.563,1073.53388,1106.61136
311.892,923.5229349999998,1033.7340899999997
312.221,951.4409100000001,1058.08409
312.55,1001.74193,1089.48364
312.879,979.6005649999998,1077.9131799999998
313.208,1022.45542,1103.6004549999998
313.536,1093.32332,1153.035
313.865,1064.872095,1160.26954
314.194,1044.75297,1158.77182
314.522,1051.71643,1158.114085
314.851,1062.7692650000001,1157.47136
315.179,1153.9862549999998,1206.4240900000002
315.508,1200.7309450000002,1266.43136
315.836,1145.124825,1274.6468200000002
316.164,1143.63489,1272.283635
316.493,1199.2466450000002,1286.7486350000001
316.821,1183.0497500000001,1290.7818150000003
317.149,1170.25126,1300.154545
317.477,1250.3971000000001,1331.83864
317.805,1211.1686,1306.0922699999999
318.133,1170.764545,1288.6399999999999
318.461,1200.909655,1307.53818
318.789,1218.98983,1323.2522800000002
319.117,1224.8838799999999,1337.17636
319.445,1203.877835,1335.91046
319.773,1198.28619,1330.6690949999997
320.1,1207.84461,1327.90454
320.428,1225.580735,1342.437275
320.756,1240.294755,1348.527275
321.083,1205.84332,1315.7131800000002
321.411,1231.1902450000002,1315.2186350000002
321.738,1228.0574049999996,1314.3759
322.066,1150.904365,1289.44227
322.393,1182.72975,1303.1672700000001
322.72,1212.6497199999997,1310.246815
323.048,1174.623705,1283.97727
323.375,1142.3096150000001,1252.4881850000002
323.702,1130.753705,1240.8059050000002
324.029,1104.6115750000001,1233.0518200000001
324.356,1102.4157049999997,1231.750915
324.683,1165.8269599999999,1253.65455
325.01,1175.320705,1265.1395499999999
325.337,1168.686115,1284.54227
325.664,1193.688075,1318.32409
325.991,1241.96794,1323.90909
326.318,1188.5115700000001,1259.1127250000002
326.644,1125.10374,1219.8099949999998
326.971,1143.9687050000002,1235.50045
327.298,1122.96461,1237.2186349999997
327.624,1117.2632550000003,1248.9918200000002
327.951,1097.473495,1252.888185
328.277,1137.272305,1268.988635
328.604,1203.734365,1280.5768150000001
328.93,1143.823355,1235.87727
329.257,1024.95968,1167.76
329.583,976.0782249999999,1131.534095
329.909,1075.2663300000004,1179.4136400000002
330.235,1111.0120650000001,1228.375
330.562,1065.5627949999998,1228.61818
330.888,1045.43067,1221.53682
331.214,974.1905649999999,1199.9209150000002
331.54,941.97157,1192.53591
331.866,927.344235,1195.9472799999999
332.192,968.9734300000001,1220.785455
332.517,1060.69972,1269.4509049999997
