Time (hours),Date/Time,Temperature (ºC)_incubator,Humidity (%RH)_incubator,Pressure (hPA)_incubator,Light (lux)_incubator,Temperature (ºC)_hypomagnetic,Humidity (%RH)_hypomagnetic,Pressure (hPA)_hypomagnetic,Light (lux)_hypomagnetic
12.016666666666667,2024-09-20 19:01:00+00:00,20.0675,66.9,1000.77,0,20.495,62.91,1001.275,0
12.0,2024-09-20 19:00:00+00:00,20.0725,66.905,1000.7875,0,20.512500000000003,62.905,1001.285,0
11.983333333333333,2024-09-20 18:59:00+00:00,20.07,66.9075,1000.7375,0,20.5025,62.905,1001.26,0
11.966666666666667,2024-09-20 18:58:00+00:00,20.0625,66.8925,1000.6425,0,20.4925,62.9025,1001.1825,0
11.95,2024-09-20 18:57:00+00:00,20.05,66.8975,1000.5475,0,20.4925,62.8975,1001.085,0
11.933333333333334,2024-09-20 18:56:00+00:00,20.055,66.9075,1000.4325,0,20.51,62.9025,1000.9675,0
11.916666666666666,2024-09-20 18:55:00+00:00,20.065,66.905,1000.3325,0,20.5,62.8875,1000.94,0
11.9,2024-09-20 18:54:00+00:00,20.0625,66.9,1000.2975,0,20.5,62.89,1000.895,0
11.883333333333333,2024-09-20 18:53:00+00:00,20.055,66.895,1000.2825,0,20.4925,62.9,1000.9,0
11.866666666666667,2024-09-20 18:52:00+00:00,20.065,66.9075,1000.325,0,20.497500000000002,62.900000000000006,1000.92,0
11.85,2024-09-20 18:51:00+00:00,20.055,66.89,1000.3325,0,20.51,62.89,1000.945,0
11.833333333333334,2024-09-20 18:50:00+00:00,20.0625,66.89250000000001,1000.3025,0,20.490000000000002,62.885,1000.9175,0
11.816666666666666,2024-09-20 18:49:00+00:00,20.065,66.905,1000.3075,0,20.497500000000002,62.900000000000006,1000.895,0
11.8,2024-09-20 18:48:00+00:00,20.0525,66.89750000000001,1000.3275,0,20.497500000000002,62.8975,1000.915,0
11.783333333333333,2024-09-20 18:47:00+00:00,20.055,66.88499999999999,1000.3675,0,20.505000000000003,62.8975,1000.925,0
11.766666666666667,2024-09-20 18:46:00+00:00,20.0725,66.91,1000.375,0,20.497500000000002,62.8925,1000.9325,0
11.75,2024-09-20 18:45:00+00:00,20.055,66.91000000000001,1000.3625,0,20.5025,62.892500000000005,1000.94,0
11.733333333333333,2024-09-20 18:44:00+00:00,20.055,66.91,1000.3325,0,20.5025,62.8775,1000.94,0
11.716666666666667,2024-09-20 18:43:00+00:00,20.06,66.88499999999999,1000.2675,0,20.5025,62.895,1000.8825,0
11.7,2024-09-20 18:42:00+00:00,20.0675,66.89999999999999,1000.27,0,20.495,62.9025,1000.88,0
11.683333333333334,2024-09-20 18:41:00+00:00,20.0525,66.89000000000001,1000.28,0,20.4875,62.8975,1000.9025,0
11.666666666666666,2024-09-20 18:40:00+00:00,20.055,66.89500000000001,1000.2775,0,20.495,62.895,1000.8925,0
11.65,2024-09-20 18:39:00+00:00,20.0475,66.8925,1000.275,0,20.5,62.9,1000.8725,0
11.633333333333333,2024-09-20 18:38:00+00:00,20.06,66.89,1000.2125,0,20.495,62.8925,1000.8425,0
11.616666666666667,2024-09-20 18:37:00+00:00,20.0475,66.88999999999999,1000.22,0,20.505000000000003,62.89,1000.8175,0
11.6,2024-09-20 18:36:00+00:00,20.0625,66.905,1000.21,0,20.490000000000002,62.895,1000.805,0
11.583333333333334,2024-09-20 18:35:00+00:00,20.0625,66.89,1000.1925,0,20.497500000000002,62.870000000000005,1000.79,0
11.566666666666666,2024-09-20 18:34:00+00:00,20.0625,66.8925,1000.1425,0,20.4875,62.8925,1000.7475,0
11.55,2024-09-20 18:33:00+00:00,20.055,66.89,1000.08,0,20.495,62.88250000000001,1000.6875,0
11.533333333333333,2024-09-20 18:32:00+00:00,20.065,66.8775,1000.0275,0,20.490000000000002,62.8875,1000.6075,0
11.516666666666667,2024-09-20 18:31:00+00:00,20.0725,66.8925,1000.0125,0,20.490000000000002,62.875,1000.59,0
11.5,2024-09-20 18:30:00+00:00,20.0625,66.89,999.945,0,20.497500000000002,62.8725,1000.5275,0
11.483333333333333,2024-09-20 18:29:00+00:00,20.07,66.885,999.975,0,20.475,62.852500000000006,1000.5575,0
11.466666666666667,2024-09-20 18:28:00+00:00,20.0625,66.8825,999.9625,0,20.5,62.88,1000.555,0
11.45,2024-09-20 18:27:00+00:00,20.06,66.8875,999.97,0,20.5075,62.8725,1000.5275,0
11.433333333333334,2024-09-20 18:26:00+00:00,20.0525,66.89750000000001,999.96,0,20.497500000000002,62.8875,1000.5675,0
11.416666666666666,2024-09-20 18:25:00+00:00,20.0625,66.8825,999.97,0,20.5,62.855,1000.6,0
11.4,2024-09-20 18:24:00+00:00,20.055,66.88,999.9925,0,20.495,62.87,1000.5975,0
11.383333333333333,2024-09-20 18:23:00+00:00,20.065,66.89,1000.0075,0,20.4925,62.865,1000.6225,0
11.366666666666667,2024-09-20 18:22:00+00:00,20.065,66.895,1000.0,0,20.485000000000003,62.865,1000.6225,0
